,num_cqs,ks
0,1,-10.0
1,1,-9.9
2,1,-9.8
3,1,-9.700000000000001
4,1,-9.600000000000001
5,1,-9.500000000000002
6,1,-9.400000000000002
7,1,-9.300000000000002
8,1,-9.200000000000003
9,1,-9.100000000000003
10,1,-9.000000000000004
11,1,-8.900000000000004
12,1,-8.800000000000004
13,1,-8.700000000000005
14,1,-8.600000000000005
15,1,-8.500000000000005
16,1,-8.400000000000006
17,1,-8.300000000000006
18,1,-8.200000000000006
19,1,-8.100000000000007
20,1,-8.000000000000007
21,1,-7.9000000000000075
22,1,-7.800000000000008
23,1,-7.700000000000008
24,1,-7.6000000000000085
25,1,-7.500000000000009
26,1,-7.400000000000009
27,1,-7.30000000000001
28,1,-7.20000000000001
29,1,-7.10000000000001
30,1,-7.000000000000011
31,1,-6.900000000000011
32,1,-6.800000000000011
33,1,-6.700000000000012
34,1,-6.600000000000012
35,1,-6.500000000000012
36,1,-6.400000000000013
37,1,-6.300000000000013
38,1,-6.2000000000000135
39,1,-6.100000000000014
40,1,-6.000000000000014
41,1,-5.900000000000015
42,1,-5.800000000000015
43,1,-5.700000000000015
44,1,-5.600000000000016
45,1,-5.500000000000016
46,1,-5.400000000000016
47,1,-5.300000000000017
48,1,-5.200000000000017
49,1,-5.100000000000017
50,1,-5.000000000000018
51,1,-4.900000000000018
52,1,-4.8000000000000185
53,1,-4.700000000000019
54,1,-4.600000000000019
55,1,-4.5000000000000195
56,1,-4.40000000000002
57,1,-4.30000000000002
58,1,-4.200000000000021
59,1,-4.100000000000021
60,1,-4.000000000000021
61,1,-3.9000000000000212
62,1,-3.800000000000021
63,1,-3.700000000000021
64,1,-3.600000000000021
65,1,-3.500000000000021
66,1,-3.400000000000021
67,1,-3.3000000000000207
68,1,-3.2000000000000206
69,1,-3.1000000000000205
70,1,-3.0000000000000204
71,1,-2.9000000000000203
72,1,-2.8000000000000203
73,1,-2.70000000000002
74,1,-2.60000000000002
75,1,-2.50000000000002
76,1,-2.40000000000002
77,1,-2.30000000000002
78,1,-2.2000000000000197
79,1,-2.1000000000000196
80,1,-2.0000000000000195
81,1,-1.9000000000000195
82,1,-1.8000000000000194
83,1,-1.7000000000000193
84,1,-1.6000000000000192
85,1,-1.500000000000019
86,1,-1.400000000000019
87,1,-1.300000000000019
88,1,-1.2000000000000188
89,1,-1.1000000000000187
90,1,-1.0000000000000187
91,1,-0.9000000000000187
92,1,-0.8000000000000187
93,1,-0.7000000000000187
94,1,-0.6000000000000187
95,1,-0.5000000000000188
96,1,-0.4000000000000188
97,1,-0.3000000000000188
98,1,-0.2000000000000188
99,1,-0.1000000000000188
100,6,-1.8790524691780774e-14
101,1,0.09999999999998122
102,1,0.19999999999998122
103,1,0.2999999999999812
104,1,0.39999999999998126
105,1,0.49999999999998124
106,1,0.5999999999999812
107,1,0.6999999999999812
108,1,0.7999999999999812
109,1,0.8999999999999811
110,1,0.9999999999999811
111,1,1.0999999999999812
112,1,1.1999999999999813
113,1,1.2999999999999814
114,1,1.3999999999999815
115,1,1.4999999999999816
116,1,1.5999999999999817
117,1,1.6999999999999817
118,1,1.7999999999999818
119,1,1.899999999999982
120,1,1.999999999999982
121,1,2.099999999999982
122,1,2.199999999999982
123,1,2.299999999999982
124,1,2.399999999999982
125,1,2.4999999999999822
126,1,2.5999999999999823
127,1,2.6999999999999824
128,1,2.7999999999999825
129,1,2.8999999999999826
130,1,2.9999999999999827
131,1,3.0999999999999828
132,1,3.199999999999983
133,1,3.299999999999983
134,1,3.399999999999983
135,1,3.499999999999983
136,1,3.599999999999983
137,1,3.6999999999999833
138,1,3.7999999999999834
139,1,3.8999999999999835
140,1,3.9999999999999836
141,1,4.099999999999984
142,1,4.199999999999983
143,1,4.299999999999983
144,1,4.399999999999983
145,1,4.499999999999982
146,1,4.599999999999982
147,1,4.6999999999999815
148,1,4.799999999999981
149,1,4.899999999999981
150,1,4.9999999999999805
151,1,5.09999999999998
152,1,5.19999999999998
153,1,5.299999999999979
154,1,5.399999999999979
155,1,5.499999999999979
156,1,5.599999999999978
157,1,5.699999999999978
158,1,5.799999999999978
159,1,5.899999999999977
160,1,5.999999999999977
161,1,6.0999999999999766
162,1,6.199999999999976
163,1,6.299999999999976
164,1,6.3999999999999755
165,1,6.499999999999975
166,1,6.599999999999975
167,1,6.699999999999974
168,1,6.799999999999974
169,1,6.899999999999974
170,1,6.999999999999973
171,1,7.099999999999973
172,1,7.199999999999973
173,1,7.299999999999972
174,1,7.399999999999972
175,1,7.499999999999972
176,1,7.599999999999971
177,1,7.699999999999971
178,1,7.7999999999999705
179,1,7.89999999999997
180,1,7.99999999999997
181,1,8.09999999999997
182,1,8.199999999999969
183,1,8.299999999999969
184,1,8.399999999999968
185,1,8.499999999999968
186,1,8.599999999999968
187,1,8.699999999999967
188,1,8.799999999999967
189,1,8.899999999999967
190,1,8.999999999999966
191,1,9.099999999999966
192,1,9.199999999999966
193,1,9.299999999999965
194,1,9.399999999999965
195,1,9.499999999999964
196,1,9.599999999999964
197,1,9.699999999999964
198,1,9.799999999999963
199,1,9.899999999999963
200,1,9.999999999999963
